"RESULT","TARGET_LOC","TARGET_TXT","SOURCE_LOC","SOURCE_TXT","SHARED","SCORE"
107,"luc. 3.263","**Fonte** novo flumen pelagi non abnegat **undis**.","ov. medic. 40","Nec redit in **fontes** **unda** supina suos;","unda; fons",6
108,"luc. 5.698","Hine usus **placuere** **deum**, non rector ut orbis,","ov. medic. 83","Quamvis tura **deos** irataque numina **placent**,","placeo; deus",6
109,"luc. 9.842","Nec culmis crevere tori: sed **corpora** **fatis**","ov. medic. 70","Et simul inflantes **corpora** frige **fabas**;","corporo-corpus; for",6
110,"luc. 1.128","Victrix caussa **deis** **placuit**, sed victa Catoni","ov. medic. 83","Quamvis tura **deos** irataque numina **placent**,","deus; placeo",6
111,"luc. 10.417","**Dis** **placitum**: non in soceri generique favorem","ov. medic. 83","Quamvis tura **deos** irataque numina **placent**,","placeo; deus",6
112,"luc. 2.113","Dum vacua pudet ire **manu**. Spes **una** salutis,","ov. medic. 93","Arentisque rosae quantum **manus** **una** prehendat,","una-uno-unus; manus",6
113,"luc. 9.650","In scopulis **haesere** ferae: vicina **colentes**","ov. medic. 98","**Haerebit** toto multus in ore **color**.","haereo; colo",6
114,"luc. 1.141","Et quamvis **primo** nutet **casura** sub Euro,","ov. medic. 59","Et quae **prima** **cadent** vivaci cornua cervo,","primus; cado",6
115,"luc. 3.612","Amputat: ilia tamen **nisu**, **quo** prenderat, haesit,","ov. medic. 52","Candida **quo** possint ora **nitere** modo.","nitor; quo",6
116,"luc. 8.474","Consilii vix tempus erat: **tamen** **omnia** monstra","ov. medic. 84","Non **tamen** accensis **omnia** danda focis.","tamen; omnis",6
117,"luc. 8.229","Iam propior, quam Persis, eram: **tamen** **omnia** vincens","ov. medic. 84","Non **tamen** accensis **omnia** danda focis.","tamen; omnis",6
118,"luc. 7.786","Pompeio vivente videt! **Tamen** **omnia** passo","ov. medic. 84","Non **tamen** accensis **omnia** danda focis.","tamen; omnis",6
119,"luc. 7.466","Nec libuit mutare locum. **Tamen** **omnia** torpor","ov. medic. 84","Non **tamen** accensis **omnia** danda focis.","tamen; omnis",6
120,"luc. 1.378","Coniugis, invita peragam **tamen** **omnia** dextra;","ov. medic. 84","Non **tamen** accensis **omnia** danda focis.","tamen; omnis",6
121,"luc. 7.253","In **manibus** vestris, **quantus** sit Caesar, habetis.","ov. medic. 93","Arentisque rosae **quantum** **manus** una prehendat,","quantus; manus",6
122,"luc. 3.6","Ad visus **reditura** **suos**, tectumque cacumen","ov. medic. 40","Nec **redit** in fontes unda supina **suos**;","suus; redeo",6
123,"luc. 9.279","Nostra quoque inviso quisquis **feret** **ora** tyranno,","ov. medic. 22","Et quantos onus est **aure** **tulisse** duos.","fero; aurum",6
