"RESULT","TARGET_LOC","TARGET_TXT","SOURCE_LOC","SOURCE_TXT","SHARED","SCORE"
236,"luc. 10.416","**Fas** est Romano. Latium sic scindere **corpus**","ov. medic. 70","Et simul inflantes **corpora** frige **fabas**;","corpus; for",5
237,"luc. 7.239","**Tempus**, in extremos **quo** mitteret omnia casus.","ov. medic. 47","**Tempus** erit, **quo** vos speculum vidisse pigebit,","quo; tempus",5
238,"luc. 7.811","Cuncta sinu, finemque **sui** **sibi** corpora debent.","ov. medic. 27","**Se** **sibi** quaeque parant, nec quos venentur amores","sui",5
239,"luc. 2.562","**Quo** **potuit** civem populus perducere liber,","ov. medic. 52","Candida **quo** **possint** ora nitere modo.","possum; quo",5
240,"luc. 9.1082","Credite victorem. Nobis **quoque** tale **paratum**","ov. medic. 27","Se sibi **quaeque** **parant**, nec quos venentur amores","quisque; paro",5
241,"luc. 5.588","Ista ratis. Ne flecte **manus**: fuge proxima **velis**","ov. medic. 20","Conspicuam gemmis **vultis** habere **manum**:","uolo; manus",5
242,"luc. 10.423","Insidias, **poteratque** cruor **per** regia fundi","ov. medic. 81","Ut coeant apteque lini **per** corpora **possint**,","per; possum",5
243,"luc. 7.421","**Omne** tibi bellum gentes **dedit** **omnibus** annis:","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
244,"luc. 3.758","Coniunx saepe **sui**, confusis vultibus **unda**,","ov. medic. 40","Nec redit in fontes **unda** supina **suos**;","suus; unda-undo",5
245,"luc. 7.226","Ponticus **ibat** eques. Sicci sed **plurima** campi","ov. medic. 66","Huc novies tanto **plus** tibi mellis **eat**.","multus; eo",5
246,"luc. 3.105","**E** latebris educta **suis**. Non consule sacrae","ov. medic. 54","**Exue** de palea tegminibusque **suis**.","suo-sus-suus; ex",5
247,"luc. 6.116","**Plurimaque** humanis ante **hoc** incognita mensis","ov. medic. 66","**Huc** novies tanto **plus** tibi mellis eat.","multus; huc",5
248,"luc. 9.287","Sed **sibi** **quaeque** volat, nec iam degustat amarum","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
249,"luc. 2.10","**Se** **quoque** lege tenens, et saecula iussa ferentem","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
250,"luc. 9.270","**Caede** manus?   Credet faciles sibi terga **dedisse**,","ov. medic. 16","Ipsa **dabat** virgas **caesaque** ligna foco.","do; caedo",5
251,"luc. 3.572","In ratibus cecidere **suis**. Cruor altus in **undis**","ov. medic. 40","Nec redit in fontes **unda** supina **suos**;","suus; unda",5
252,"luc. 6.813","Me reticente, **dabunt**: tibi certior **omnia** vates","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
253,"luc. 10.55","Obside **quo** pacis Pellaea **tutus** in aula","ov. medic. 2","Et **quo** sit vobis forma **tuenda** modo.","tueor; quo",5
254,"luc. 7.129","Ictibus incertis. **Multorum** pallor in **ore**","ov. medic. 98","Haerebit toto **multus** in **ore** color.","aurum-os; multus",5
255,"luc. 7.869","**Pluraque** ruricolis feriuntur dentibus **ossa**.","ov. medic. 98","Haerebit toto **multus** in **ore** color.","multus; os",5
256,"luc. 3.54","**Quoque** modo vanos populi conciret **amores**,","ov. medic. 27","Se sibi **quaeque** parant, nec quos venentur **amores**","amor; quisque",5
257,"luc. 7.253","In **manibus** vestris, quantus sit Caesar, **habetis**.","ov. medic. 20","Conspicuam gemmis vultis **habere** **manum**:","habeo; manus",5
258,"luc. 7.576","Promovet **ipse** acies: impellit terga **suorum**:","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suus; ipse",5
259,"luc. 4.392","Est cruor, et Caesar **per** tot **sua** fata sequendus.","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
260,"luc. 2.20","Tunc questus tenuere **suos**, magnusque **per** omnes","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
261,"luc. 3.113","Viribus an **possent** obsistere iura, **per** unam","ov. medic. 81","Ut coeant apteque lini **per** corpora **possint**,","possum; per",5
262,"luc. 8.32","Tradere **se** fatis audet, nisi morte **parata**?","ov. medic. 27","**Se** **sibi** quaeque **parant**, nec quos venentur amores","sui; paro",5
263,"luc. 9.877","Terga **damus** ferienda Noto. Nunc forsitan **ipsa** est","ov. medic. 16","**Ipsa** **dabat** virgas caesaque ligna foco.","do; ipse",5
264,"luc. 7.206","Signa **dedit**, quorum fatis coelum **omne** vacavit!","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
265,"luc. 5.729","Te **quoque** fecit **amor**: quod nolles stare sub ictu","ov. medic. 27","Se sibi **quaeque** parant, nec quos venentur **amores**","amor; quisque",5
266,"luc. 2.321","Hunc **quoque** totius **sibi** ius promittere mundi","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
267,"luc. 2.383","Nec **sibi**, sed toti genitum **se** credere mundo.","ov. medic. 27","**Se** **sibi** quaeque parant, nec quos venentur amores","sui",5
268,"luc. 8.356","Sed civi servire **suo**.   Iuvat ire **per** orbem","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
269,"luc. 1.400","**Per** tam multa **suo**, famae maioris in amnem","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
270,"luc. 1.139","Pondere fixa **suo** est; nudosque **per** aera ramos","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
271,"luc. 4.143","**Dat** poenas maioris aquae. Postquam **omnia** fatis","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
272,"luc. 2.108","Crimine **quo** parvi caedem **potuere** mereri?","ov. medic. 52","Candida **quo** **possint** ora nitere modo.","quo; possum",5
273,"luc. 7.36","Sic **se** dilecti tumulum **quoque** perdere Magni.","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
274,"luc. 5.499","Dum **se** deesse deis, ac non **sibi** numina, credit,","ov. medic. 27","**Se** **sibi** quaeque parant, nec quos venentur amores","sui",5
275,"luc. 2.648","Dum paci **dat** tempus hiems. Sic fatur, et **omnes**","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
276,"luc. 1.393","Fataque ferre **videt**, ne **quo** languore moretur","ov. medic. 47","Tempus erit, **quo** vos speculum **vidisse** pigebit,","uideo; quo",5
277,"luc. 3.372","**Quam** duce me bellum. **Sic** postquam fatus, ad urbem","ov. medic. 35","**Sic** potius vos urget amor **quam** fortibus herbis,","sic; quam",5
278,"luc. 9.196","**Quaeque** dari voluit, voluit **sibi** posse negari.","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
279,"luc. 2.408","**Quoque** magis nullum tellus  **se** solvit in amnem,","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
280,"luc. 4.106","**Sic** mundi pars ima iacet, **quam** zona nivalis","ov. medic. 35","**Sic** potius vos urget amor **quam** fortibus herbis,","sic; quam",4
281,"luc. 6.265","**Quam** mare lassatur, cum **se** tollentibus Euris","ov. medic. 12","Maluerint, **quam** **se**, rura paterna coli:","sui; quam",4
282,"luc. 2.700","**Quam** retinere vetas, liceat **sibi** perdere saltem","ov. medic. 12","Maluerint, **quam** **se**, rura paterna coli:","sui; quam",4
283,"luc. 3.160","**Quo** te Fabricius regi non vendidit **auro**,","ov. medic. 52","Candida **quo** possint **ora** nitere modo.","quo; aurum",4
284,"luc. 3.657","**Quo** minus aera sonent. Eliso ventre, per **ora**","ov. medic. 52","Candida **quo** possint **ora** nitere modo.","aurum-ora-oro-os; quo",4
